Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
GRU,cross_situation,small,1000,948,0,multi_classification,0.4277777777777778,0.6938888888888889
GRU,cross_situation,small,1000,948,1,multi_classification,0.3111111111111111,0.6944444444444444
GRU,cross_situation,small,1000,948,2,multi_classification,0.30000000000000004,0.6911111111111111
GRU,cross_situation,small,1000,948,3,multi_classification,0.3472222222222222,0.6977777777777778
GRU,cross_situation,small,1000,948,4,multi_classification,0.3027777777777778,0.6938888888888889
GRU,cross_situation,small,1000,948,5,multi_classification,0.3222222222222222,0.6994444444444444
GRU,cross_situation,small,1000,948,6,multi_classification,0.2972222222222223,0.6972222222222222
GRU,cross_situation,small,1000,948,7,multi_classification,0.4666666666666667,0.6983333333333333
GRU,cross_situation,small,1000,948,8,multi_classification,0.2861111111111111,0.6972222222222222
GRU,cross_situation,small,1000,948,9,multi_classification,0.29166666666666663,0.7022222222222223
GRU,cross_situation,small,10000,9954,0,multi_classification,0.29166666666666663,0.6938888888888889
GRU,cross_situation,small,10000,9954,1,multi_classification,0.30833333333333335,0.6944444444444444
GRU,cross_situation,small,10000,9954,2,multi_classification,0.3055555555555556,0.6911111111111111
GRU,cross_situation,small,10000,9954,3,multi_classification,0.27222222222222225,0.6977777777777778
GRU,cross_situation,small,10000,9954,4,multi_classification,0.3055555555555556,0.6938888888888889
GRU,cross_situation,small,10000,9954,5,multi_classification,0.26111111111111107,0.6994444444444444
GRU,cross_situation,small,10000,9954,6,multi_classification,0.2777777777777778,0.6972222222222222
GRU,cross_situation,small,10000,9954,7,multi_classification,0.2583333333333333,0.6983333333333333
GRU,cross_situation,small,10000,9954,8,multi_classification,0.2861111111111111,0.6972222222222222
GRU,cross_situation,small,10000,9954,9,multi_classification,0.28055555555555556,0.7022222222222223
GRU,cross_situation,small,100000,99606,0,multi_classification,0.25555555555555554,0.6938888888888889
GRU,cross_situation,small,100000,99606,1,multi_classification,0.25555555555555554,0.6944444444444444
GRU,cross_situation,small,100000,99606,2,multi_classification,0.2972222222222223,0.6911111111111111
GRU,cross_situation,small,100000,99606,3,multi_classification,0.2694444444444445,0.6977777777777778
GRU,cross_situation,small,100000,99606,4,multi_classification,0.26111111111111107,0.6938888888888889
GRU,cross_situation,small,100000,99606,5,multi_classification,0.2833333333333333,0.6994444444444444
GRU,cross_situation,small,100000,99606,6,multi_classification,0.275,0.6972222222222222
GRU,cross_situation,small,100000,99606,7,multi_classification,0.28055555555555556,0.6983333333333333
GRU,cross_situation,small,100000,99606,8,multi_classification,0.26388888888888884,0.6972222222222222
GRU,cross_situation,small,100000,99606,9,multi_classification,0.275,0.7022222222222223
GRU,cross_situation,medium,1000,948,0,multi_classification,0.2019642857142857,0.7974642857142857
GRU,cross_situation,medium,1000,948,1,multi_classification,0.2025,0.7970714285714285
GRU,cross_situation,medium,1000,948,2,multi_classification,0.20178571428571423,0.7975
GRU,cross_situation,medium,1000,948,3,multi_classification,0.20392857142857146,0.7969285714285714
GRU,cross_situation,medium,1000,948,4,multi_classification,0.20375,0.7969285714285714
GRU,cross_situation,medium,1000,948,5,multi_classification,0.20553571428571427,0.7966428571428572
GRU,cross_situation,medium,1000,948,6,multi_classification,0.20446428571428577,0.7980714285714285
GRU,cross_situation,medium,1000,948,7,multi_classification,0.20375,0.7972142857142857
GRU,cross_situation,medium,1000,948,8,multi_classification,0.2019642857142857,0.7970357142857143
GRU,cross_situation,medium,1000,948,9,multi_classification,0.2025,0.7965357142857143
GRU,cross_situation,medium,10000,9840,0,multi_classification,0.20303571428571432,0.7974642857142857
GRU,cross_situation,medium,10000,9840,1,multi_classification,0.19625000000000004,0.7970714285714285
GRU,cross_situation,medium,10000,9840,2,multi_classification,0.009642857142857175,0.010642857142857176
GRU,cross_situation,medium,10000,9840,3,multi_classification,0.20392857142857146,0.7969285714285714
GRU,cross_situation,medium,10000,9840,4,multi_classification,0.20375,0.7969285714285714
GRU,cross_situation,medium,10000,9840,5,multi_classification,0.00910714285714287,0.009535714285714314
GRU,cross_situation,medium,10000,9840,6,multi_classification,0.20446428571428577,0.7980714285714285
GRU,cross_situation,medium,10000,9840,7,multi_classification,0.20375,0.7972142857142857
GRU,cross_situation,medium,10000,9840,8,multi_classification,0.0076785714285714235,0.007928571428571396
GRU,cross_situation,medium,10000,9840,9,multi_classification,0.00910714285714287,0.00728571428571434
GRU,cross_situation,medium,100000,99988,0,multi_classification,0.0033928571428571974,0.003107142857142864
GRU,cross_situation,medium,100000,99988,1,multi_classification,0.0019642857142857517,0.0050000000000000044
GRU,cross_situation,medium,100000,99988,2,multi_classification,0.0030357142857142527,0.005214285714285727
GRU,cross_situation,medium,100000,99988,3,multi_classification,0.0024999999999999467,0.003285714285714336
GRU,cross_situation,medium,100000,99988,4,multi_classification,0.0028571428571428914,0.003785714285714281
GRU,cross_situation,medium,100000,99988,5,multi_classification,0.003214285714285725,0.0033928571428571974
GRU,cross_situation,medium,100000,99988,6,multi_classification,0.0055357142857143105,0.005142857142857116
GRU,cross_situation,medium,100000,99988,7,multi_classification,0.0035714285714285587,0.004750000000000032
GRU,cross_situation,medium,100000,99988,8,multi_classification,0.003214285714285725,0.004464285714285698
GRU,cross_situation,medium,100000,99988,9,multi_classification,0.003214285714285725,0.002142857142857113
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,0,multi_classification,0.5194444444444444,0.6938888888888889
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,1,multi_classification,0.5,0.6944444444444444
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,2,multi_classification,0.41388888888888886,0.6911111111111111
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,3,multi_classification,0.4222222222222223,0.6977777777777778
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,4,multi_classification,0.5722222222222222,0.6938888888888889
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,5,multi_classification,0.4666666666666667,0.6994444444444444
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,6,multi_classification,0.575,0.6972222222222222
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,7,multi_classification,0.5111111111111111,0.6983333333333333
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,8,multi_classification,0.42500000000000004,0.6972222222222222
TRANSFORMER_ENCDEC,cross_situation,small,1000,470,9,multi_classification,0.475,0.7022222222222223
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,0,multi_classification,0.32499999999999996,0.6938888888888889
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,1,multi_classification,0.3194444444444444,0.6944444444444444
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,2,multi_classification,0.3111111111111111,0.6911111111111111
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,3,multi_classification,0.3138888888888889,0.6977777777777778
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,4,multi_classification,0.2944444444444444,0.6938888888888889
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,5,multi_classification,0.2222222222222222,0.6994444444444444
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,6,multi_classification,0.3027777777777778,0.6972222222222222
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,7,multi_classification,0.3305555555555556,0.6983333333333333
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,8,multi_classification,0.2833333333333333,0.6972222222222222
TRANSFORMER_ENCDEC,cross_situation,small,10000,9450,9,multi_classification,0.33611111111111114,0.7022222222222223
TRANSFORMER_ENCDEC,cross_situation,small,100000,94178,0,multi_classification,0.061111111111111116,0.06166666666666665
TRANSFORMER_ENCDEC,cross_situation,small,100000,94178,1,multi_classification,0.2972222222222223,0.6944444444444444
TRANSFORMER_ENCDEC,cross_situation,small,100000,94178,2,multi_classification,0.2972222222222223,0.6911111111111111
TRANSFORMER_ENCDEC,cross_situation,small,100000,94178,3,multi_classification,0.28055555555555556,0.6977777777777778
TRANSFORMER_ENCDEC,cross_situation,small,100000,94178,4,multi_classification,0.2944444444444444,0.6938888888888889
